field_type,ID,Location,Taxa,Numeric,Time,Time,Categorical,Comments
description,Point count location,Location in the SAFE landscape,Common name of species seen and/or seen,Estimated distance of species ,Time within the Point Count (0-20mins),The time of the observation,Visual or Audio sighting,Notes
levels,,,,,,,A;V;AV,
units,,,,metres,hh:mm:ss,hh:mm:ss,,
method,ID_code,Location,Observation,Observation,,,Observation,
field_name,Point_count_ID,Site,Species_common_name,Est_distance,PC_time,Time_of_day,Audio_visual,Notes
1,18_03_06_1,E100 edge,NA,10,00:00:00,10:15:00 AM,A,Shwit ... Shwit ... Shwit irregularly repeated (2.2-3.5khz)
2,18_03_06_1,E100 edge,Fluffy-backed Tit-babbler,NA,00:00:07,10:15:07 AM,A,NA
3,18_03_06_1,E100 edge,Blue-eared Barbet,60,00:00:37,10:15:37 AM,A,also at 12:24
4,18_03_06_1,E100 edge,Chestnut-winged Babbler,100,00:00:50,10:15:50 AM,A,NA
5,18_03_06_1,E100 edge,Blue-eared Barbet,30,00:00:54,10:15:54 AM,A,NA
6,18_03_06_1,E100 edge,Orthotomus,NA,00:01:52,10:16:52 AM,A,NA
7,18_03_06_1,E100 edge,Greater Coucal,0,00:01:58,10:16:58 AM,A,NA
8,18_03_06_1,E100 edge,Bold-striped Tit-babbler,50,00:02:17,10:17:17 AM,A,NA
9,18_03_06_1,E100 edge,Bold-striped Tit-babbler,50,00:02:17,10:17:17 AM,A,NA
10,18_03_06_1,E100 edge,Little Spiderhunter,15,00:02:45,10:17:45 AM,A,NA
11,18_03_06_1,E100 edge,Yellow-bellied Bulbul,28,00:03:00,10:18:00 AM,A,JA40; JA41
12,18_03_06_1,E100 edge,Maroon Woodpecker,10,00:03:20,10:18:20 AM,A,NA
13,18_03_06_1,E100 edge,Great Argus,100,00:03:32,10:18:32 AM,A,NA
14,18_03_06_1,E100 edge,Black-and-yellow Broadbill,30,00:04:20,10:19:20 AM,A,Kheeee
15,18_03_06_1,E100 edge,Smiths Giant Gecko,30,00:04:29,10:19:29 AM,A,NA
16,18_03_06_1,E100 edge,Rufous Piculet,15,00:04:32,10:19:32 AM,A,Drumming
17,18_03_06_1,E100 edge,Blue-eared Barbet,40,00:06:03,10:21:03 AM,A,At 12:22 both barbets calling simultaneously
18,18_03_06_1,E100 edge,Smiths Giant Gecko,30,00:06:43,10:21:43 AM,A,NA
19,18_03_06_1,E100 edge,Spectacled Bulbul,30,00:07:26,10:22:26 AM,A,NA
20,18_03_06_1,E100 edge,Yellow-bellied Bulbul,25,00:08:33,10:23:33 AM,A,NA
21,18_03_06_1,E100 edge,Bearded Pig,100,00:11:12,10:26:12 AM,A,NA
22,18_03_06_1,E100 edge,Crested Serpent Eagle,60,00:11:13,10:26:13 AM,A,NA
23,18_03_06_1,E100 edge,NA,20,00:13:01,10:28:01 AM,A,short whipping-like sound = asian fairy?
24,18_03_06_1,E100 edge,Dicaeidae,30,00:13:25,10:28:25 AM,A,dzidzidzidzi = Flowerpecker
25,18_03_06_1,E100 edge,Rhinoceros Hornbill,100,00:14:03,10:29:03 AM,A,NA
26,18_03_06_1,E100 edge,White-bellied Yuhina,30,00:14:45,10:29:45 AM,A,NA
27,18_03_06_1,E100 edge,NA,NA,00:16:30,10:31:30 AM,A,Khiew-kiehw-kiekiew
28,18_03_06_1,E100 edge,Buff-vented Bulbul,NA,00:16:50,10:31:50 AM,A,NA
29,18_03_06_1,E100 edge,Brown Barbet,NA,00:16:53,10:31:53 AM,A,Also at 17:42
30,18_03_06_1,E100 edge,Great Argus,80,00:17:40,10:32:40 AM,A,Single hoots
31,18_03_06_1,E100 edge,Smiths Giant Gecko,30,00:18:02,10:33:02 AM,A,NA
