date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1,0.1,1.8,1.2,,195.2,8.2,20.4,1007.7,
2021-01-02,0.8,-1.1,2.9,0,,176.9,8.1,22.2,1014.5,
2021-01-03,0.3,-0.2,0.7,7.2,,57.8,18.2,37,1015.8,
2021-01-04,0.8,0.5,1,3.4,,51.2,14.9,31.5,1017.2,
2021-01-05,1.3,0.6,2.1,2.3,,30.5,15.1,31.5,1016.9,
2021-01-06,1.6,0.8,2.3,3.8,,300.6,12.8,29.6,1011.2,
2021-01-07,1,0.6,1.3,1.4,,248.5,13.1,29.6,1010.1,
2021-01-08,0.2,-0.5,0.9,0.9,,239.4,8.7,20.4,1012.2,
2021-01-09,0.6,0.1,1.3,0.9,,279,8.4,18.5,1019.7,
2021-01-10,0.3,-0.8,0.9,0,,249.6,10.3,25.9,1023.8,
2021-01-11,0.8,-0.7,2,1,,214,17.4,42.6,1017.3,
2021-01-12,1.8,0.2,2.5,6.8,,240.8,19.8,44.5,1003.8,
2021-01-13,1.3,0,3,4,,266.6,22.6,50,1005.5,
2021-01-14,1.6,0.7,2.7,2.1,,326.2,17.5,46.3,1013.5,
2021-01-15,-0.7,-2.7,0.6,1.5,,335.2,14,33.3,1023.4,
2021-01-16,-2.3,-3,-1.5,0.5,,296.7,13.4,33.3,1023.4,
2021-01-17,-2.8,-4.9,-1.2,0,,193.5,7.2,20.4,1020.3,
2021-01-18,-2.2,-4.9,1.3,2.8,,190,11.1,29.6,1019.1,
2021-01-19,2.3,1.5,3.9,9.6,,218.1,17.3,35.2,1008.9,
2021-01-20,5.7,4,8.1,0.7,,211.2,19.1,38.9,1003.1,
2021-01-21,8.1,5.6,11.4,0,,190.9,21.8,48.2,997.3,
2021-01-22,7.6,3.1,9.5,0,,217.8,17.1,53.7,992.8,
2021-01-23,1.8,0.5,2.8,4.4,,291.8,8.6,22.2,996.7,
2021-01-24,0.5,-0.5,1.3,2.7,,94,9.3,20.4,996.7,
2021-01-25,0.9,0,2.1,0.9,,266.3,10.7,24.1,1002.9,
2021-01-26,0.2,-1.7,1.9,0.2,,267.1,12.4,29.6,1011.1,
2021-01-27,1.2,-0.1,3.6,0.2,,231,12.4,27.8,1012.9,
2021-01-28,1.8,-1.2,3.5,1.1,,295.8,11.7,25.9,1004.6,
2021-01-29,-1.6,-3.2,0,1.3,,100.1,11,29.6,999.4,
2021-01-30,-1.1,-3.2,0.8,2.6,,350,10.9,27.8,1001.7,
2021-01-31,-3.4,-5.6,0.3,0,,223.9,8,20.4,1005.7,
2021-02-01,-3.2,-6.2,-0.1,0.2,,118.2,14.9,33.3,1000.1,
2021-02-02,0.4,-1.4,1.4,3.1,,195,9.4,22.2,1002.1,
2021-02-03,3.6,1.1,5.7,9.6,,127.8,8.2,25.9,999.3,
2021-02-04,1.4,-0.4,4.3,5.5,,31.1,11.7,31.5,1010.8,
2021-02-05,-0.1,-0.9,1,1.4,,93.7,17.4,38.9,1018.6,
2021-02-06,-1.6,-3.7,-0.5,0.3,,82.5,23.5,51.8,1019.1,
2021-02-07,-5.8,-7,-3.6,2.7,,80.6,29.2,61.1,1012.5,
2021-02-08,-8.5,-10,-6.1,6.4,,61.5,21.5,53.7,1005.7,
2021-02-09,-9.4,-11.5,-7.3,1.7,,359.8,6.3,16.7,1007.1,
2021-02-10,-9,-12.7,-4.6,0.7,,309.8,7.2,20.4,1012,
2021-02-11,-5.6,-8.6,-2.4,0.7,,337.5,10.6,22.2,1026,
2021-02-12,-6.1,-9.1,-2.1,0.2,,350.9,10.4,24.1,1035.4,
2021-02-13,-5.1,-8.9,-0.7,0,,311.7,9.9,20.4,1040.3,
2021-02-14,-5.3,-8,-1,0,,264.7,9.7,20.4,1041.7,
2021-02-15,-4.3,-10.8,1.5,2.4,,163.2,14,33.3,1032.8,
2021-02-16,2.6,0.5,4.2,1.9,,195,10.7,29.6,1018.6,
2021-02-17,4.6,3,5.9,1.4,,246.3,14.1,35.2,1014,
2021-02-18,6.5,3.8,10.3,0.5,,173.2,12.1,33.3,1017.2,
2021-02-19,6.5,3,9.3,3,,226.9,14.9,37,1016.3,
2021-02-20,6.3,1.3,12.2,0,,161,13,25.9,1019.7,
2021-02-21,8.9,4.6,15.3,0,,168.7,13.9,25.9,1018.9,
2021-02-22,7.5,3.2,13.6,0,,167,10.8,24.1,1022.3,
2021-02-23,11,4.5,18.3,0,,213.8,9.9,24.1,1030.4,
2021-02-24,13.2,8.7,19.2,0,,213.2,11.8,27.8,1031.2,
2021-02-25,12.7,7.9,18.8,0,,222.6,11.5,29.6,1026.8,
2021-02-26,8.3,5.4,10.5,2.7,,296.9,13,31.5,1028.8,
2021-02-27,5,3,7.1,0,,296.9,14.4,31.5,1036,
2021-02-28,4.6,2.3,8,0,,281.8,11.4,24.1,1036.7,
2021-03-01,5.4,2.6,9.1,0,,254.2,7.4,16.7,1035.9,
2021-03-02,5.3,0.3,12.1,0,,213.8,4.9,13,1034.3,
2021-03-03,6.9,0.5,14.1,0,,209,9.7,25.9,1027.1,
2021-03-04,4.1,2.8,7.1,0,,305.4,13.7,29.6,1018.6,
2021-03-05,1.8,-0.7,4.6,0,,343.6,12.9,31.5,1024.9,
2021-03-06,1.3,-2.7,4.7,0,,268.6,14,35.2,1030.6,
2021-03-07,2.4,0.9,3.7,0.5,,272.8,17.5,40.8,1022.5,
2021-03-08,1.9,-1.5,5.5,0.3,,1.7,9.4,24.1,1022,
2021-03-09,0.7,-3.7,5.9,0,,126,9.7,20.4,1020.9,
2021-03-10,2.1,-3.6,7.8,0,,133.6,11.8,29.6,1019,
2021-03-11,6,2.5,10.6,10.1,,197.2,23,57.4,1001.3,
2021-03-12,7.4,5.8,9.4,3.1,,244.4,22.8,53.7,1002.1,
2021-03-13,6.6,4.9,8.7,5.5,,218.9,23.2,57.4,997.1,
2021-03-14,5.4,4.3,6.8,5.9,,260.5,23.4,61.1,1001.2,
2021-03-15,4.4,3.1,6,3.6,,254.3,15.5,38.9,1006.6,
2021-03-16,4.1,2.1,6.2,1.5,,319,17.7,40.8,1015.5,
2021-03-17,2.6,1,5,0.6,,354.5,10.1,25.9,1021.9,
2021-03-18,1.7,-0.4,4.2,2,,318.4,8.5,24.1,1021.6,
2021-03-19,1,-1.6,3.2,1,,17.3,15,42.6,1022.3,
2021-03-20,0.2,-3.3,2.9,0,,297.4,12.2,33.3,1026.4,
2021-03-21,4.9,3,7.6,1.4,,296.8,19.4,46.3,1014.1,
2021-03-22,4.3,-0.1,8.4,0,,301.9,11.6,27.8,1019.3,
2021-03-23,5.6,4.2,7.4,0.3,,281.9,12.4,27.8,1023.1,
2021-03-24,6.7,3.5,11.5,0,,235.4,9.7,25.9,1023,
2021-03-25,8.6,3.3,14.1,0,,233.7,8.7,24.1,1019.6,
2021-03-26,9.9,5,15.1,0,,195.6,8.4,24.1,1018.6,
2021-03-27,7.1,4,8.8,2.5,,236.4,17.5,51.8,1016.8,
2021-03-28,,,,,,,,,,
2021-03-29,12.2,8.7,16.4,0.1,,236,15.1,35.2,1027,
2021-03-30,13.7,8.1,20.5,0,,263.1,12,29.6,1029.5,
2021-03-31,14.5,5.7,23.5,0,,215.2,8.1,24.1,1023.6,
2021-04-01,11.6,7.8,15.9,0,,305.1,14.4,42.6,1017.4,
2021-04-02,6.8,3.2,9.9,0,,323,14.6,42.6,1020.1,
2021-04-03,5.6,2.8,8,0,,340.1,15.7,38.9,1021.1,
2021-04-04,4.5,-1.3,9.1,0,,262.4,12.1,38.9,1020.5,
2021-04-05,4.4,1.5,6.6,3.2,,262.4,23,64.8,1002.3,
2021-04-06,2.2,-0.3,4.7,1.4,,267.4,19.7,46.3,1004.5,
2021-04-07,3.3,0.1,6.7,1.3,,272,20.4,48.2,1008.3,
2021-04-08,4.2,2,6.4,0,,276.9,21.2,50,1017.8,
2021-04-09,6.8,1.8,12.1,0,,221,16.8,44.5,1015.3,
2021-04-10,6.6,4.3,8.9,4.5,,35,8.8,27.8,1014.8,
2021-04-11,11.8,6.6,18.8,4.7,,159.4,15.6,37,1010.6,
2021-04-12,5.6,2.8,10.4,2.1,,298.5,15.5,38.9,1021.5,
2021-04-13,4.3,0.5,7.8,0,,287,14.2,37,1027.7,
2021-04-14,4.1,0.7,7.1,0,,322.2,13.3,31.5,1027.7,
2021-04-15,3.7,1,6,1.1,,357.5,15.6,42.6,1027.7,
2021-04-16,5.7,2.9,8.2,1.1,,355.2,16.5,35.2,1024.6,
2021-04-17,7.5,4,10.8,0.7,,351.8,11.2,27.8,1021.9,
2021-04-18,8.4,5.2,11.4,3.5,,31.6,9.4,25.9,1020.5,
2021-04-19,10,5.4,15.2,0,,14.9,9.3,25.9,1019.8,
2021-04-20,10.7,5.9,15.9,0,,330.8,8.6,24.1,1016.1,
2021-04-21,10.2,4.6,15.9,0,,304.3,14.1,42.6,1014.1,
2021-04-22,6.9,3.3,9.6,0.5,,294,21.5,51.8,1018.6,
2021-04-23,7.4,4,10.8,0,,297.6,17.2,42.6,1024.2,
2021-04-24,6.7,3.5,9.6,0,,310.9,12.7,31.5,1025,
2021-04-25,5.6,2.1,9.1,0,,339.9,10.8,35.2,1024.3,
2021-04-26,4.4,-0.8,8.5,0,,343.3,9.2,24.1,1022,
2021-04-27,6.1,-1,12.1,0,,97,12.5,35.2,1016.4,
2021-04-28,9.9,2.6,16.5,0,,105.9,14.7,31.5,1009.3,
2021-04-29,10.8,8.3,14.3,2.7,,178.9,13,37,1002.8,
2021-04-30,8.6,7.1,10.6,0,,305.6,13.7,35.2,1010.5,
2021-05-01,8.9,5.6,12.4,0,,73.1,7.1,22.2,1013.7,
2021-05-02,7.9,6.5,9.2,6.1,,338.8,11.9,35.2,1011.7,
2021-05-03,7.5,4.7,10.6,4.6,,269.9,17.8,44.5,1016.9,
2021-05-04,9.5,5.7,12.9,2,,200.5,23.1,63,1003.3,
2021-05-05,9.3,6.9,11.1,2,,242,25.5,64.8,999.3,
2021-05-06,7.8,3.8,11.4,0.5,,247.8,17.8,50,1005.8,
2021-05-07,5.8,4.3,7.6,6.3,,294.5,12.1,42.6,1008.9,
2021-05-08,8.5,3.1,13.4,0,,243,12.4,31.5,1017.5,
2021-05-09,16.7,8.8,25.5,0,,169.6,16.9,38.9,1010.5,
2021-05-10,20.3,12.3,28.8,0,,172.8,14.4,33.3,1007,
2021-05-11,20.7,14.9,27.1,0,,62.1,10.7,35.2,1005.6,
2021-05-12,14.7,13,17.1,4.8,,305.4,14.7,33.3,1007.3,
2021-05-13,11.6,10.8,13.1,8.3,,316.6,15.8,33.3,1005.2,
2021-05-14,10.8,9,12.5,5.6,,284.8,14.8,35.2,1005.5,
2021-05-15,12.1,7,16.2,1.9,,200.6,10.6,33.3,1006.5,
2021-05-16,12.6,9,16.4,1.1,,203,11.7,33.3,1002.8,
2021-05-17,12.6,8.3,16.8,1.1,,228.3,9.8,27.8,1003.1,
2021-05-18,11.7,8.8,14.9,1.7,,282.5,12.1,33.3,1009.3,
2021-05-19,11.7,8,15.1,0,,299.3,11.4,31.5,1014.1,
2021-05-20,12,7.7,16,0,,281.7,12.5,35.2,1017.2,
2021-05-21,13.9,9.1,19.1,0,,213.4,16.6,51.8,1007.6,
2021-05-22,12.6,9.2,16.1,1.5,,220.8,17.4,51.8,1004.5,
2021-05-23,12.1,9.2,15.1,2.3,,245.4,13.8,37,1011.7,
2021-05-24,14.7,6.9,21.4,0,,166.1,14.1,38.9,1014.4,
2021-05-25,12.7,10.1,14.1,2.3,,222,16.1,44.5,1011.2,
2021-05-26,11.2,8.4,14.1,5.9,,216.8,17.1,42.6,1011.3,
2021-05-27,11.7,9,13.7,2.6,,232.9,16.1,40.8,1012.2,
2021-05-28,11.7,9,14.8,1,,307,13.4,31.5,1020,
2021-05-29,12.1,7,15.9,0,,321.4,14.1,40.8,1023.6,
2021-05-30,13.4,6.6,18.6,0,,15.4,12.7,35.2,1026.5,
2021-05-31,14.2,6.5,20.5,0,,36.6,8.5,22.2,1024.1,
2021-06-01,15.9,9.4,21.3,0,,334.6,11.8,31.5,1019.2,
2021-06-02,17.3,11.3,22.5,0.7,,92.9,12.6,33.3,1019.5,
2021-06-03,20,12.8,26.5,0,,117,15.1,35.2,1023,
2021-06-04,20,14.9,24.9,0,,118.3,14.2,31.5,1021.4,
2021-06-05,20.8,14.1,26.6,0,,88.3,11.9,29.6,1019.4,
2021-06-06,21.7,16.2,26.8,0,,86.9,9.3,24.1,1019.2,
2021-06-07,20.1,13.8,25.5,0,,342.5,11.1,27.8,1020.5,
2021-06-08,20.3,14.5,24.7,0,,354,10.7,29.6,1021.2,
2021-06-09,20.4,13.8,26,0,,351.1,8,24.1,1021,
2021-06-10,21.1,15.6,26.2,0,,332,9.8,31.5,1018.9,
2021-06-11,21.5,16.1,25.7,0,,321.4,9.7,33.3,1017,
2021-06-12,18.3,15.1,19.4,1.9,,293.3,16.6,48.2,1015.1,
2021-06-13,14.9,10.9,18.7,0,,307.8,18.6,44.5,1022.6,
2021-06-14,18.2,10.2,25.7,0,,260.4,8.8,24.1,1021.9,
2021-06-15,19.1,14.9,22.5,0,,318.7,10.9,25.9,1018.3,
2021-06-16,20.4,13.1,27.2,0,,97.5,11.4,27.8,1018.3,
2021-06-17,25.7,17.5,33.7,0,,129.6,14.6,35.2,1015.2,
2021-06-18,27,18.5,34.9,0,,140.3,15.4,38.9,1014,
2021-06-19,26.7,18.8,33.3,0,,201.8,10.4,27.8,1012.8,
2021-06-20,27.4,21.3,32.8,0,,185.8,11.7,33.3,1009.2,
