Location name,New,Latitude,Longitude,Type,Elevation,ET before arrival,Notes
E100 edge,yes,4.68392,117.58604,Transect,379,"30 minutes drive, 1.5 hour walk",covered by leaves
D100 641,yes,4.71129,117.58753,Transect,479,"20 minutes drive, 30 minutes walk",
C10 621,yes,4.71118,117.61899,Transect,403,"15 minutes drive, 45 minutes walk",
B10,yes,4.72747,117.61433,Transect,352,takes only 30min to get there (walk + car),
E1 648,yes,4.69372,117.58118,Transect,428,"30 minutes drive, 30 minutes walk",
D Matrix,yes,4.70272,117.59141,Transect,407,"20 minutes drive, 10 minutes walk","Not really inside the official SAFE matrix, set up along the logging road up to D."
C Matrix,yes,4.71011,117.61071,Transect,271,"10 minutes drive, 20 minutes walk",Semi-permanent marsh nearby (appx. 7 m from recorder)
Riparian 1,yes,4.65041,117.54203,Transect,80,"1 hour drive, 5 minutes walk",
Riparian 2,yes,4.65278,117.54653,Transect,172,"1 hour drive, 30 minutes walk",
VJR 1,yes,4.66443,117.53513,Transect,312,"1 hour drive, 2 hours walk",
VJR 2,yes,4.66803,117.53897,Transect,391,"1 hour drive, 2.5 hours walk",
B1 602,yes,4.72834,117.62350,Transect,326,"10 minutes drive, 1 hour walk",
OP3 843,yes,4.64005,117.45265,Transect,325,,
OP Belian,yes,4.63707,117.52016,Transect,282,,planted in 2012
LFE 703,yes,4.72441,117.59713,Transect,416,15 minutes walk,
LFE 705,yes,4.72792,117.59558,Transect,461,30 minutes walk,
B matrix 599,yes,4.72567,117.61924,Transect,312,"10 minutes drive, 30 minutes walk",
D1 634,yes,4.71586,117.58414,Transect,425,"20 minutes drive, 45 minutes walk",
D10 639,yes,4.70556,117.58361,Transect,323,"20 minutes drive, 30 minutes walk",
D100 643,yes,4.71161,117.59318,Transect,337,"20 minutes drive, 30 minutes walk",
E Matrix 647,yes,4.69588,117.57704,Transect,463,"30 minutes drive, 1 hour walk",
E1 651,yes,4.69891,117.58263,Transect,465,"30 minutes drive, 40 minutes walk",
E10 654,yes,4.69128,117.5758,Transect,400,"30 minutes drive, 1 hour walk",
E100 658,yes,4.68914,117.58446,Transect,403,"30 minutes drive, 1 hour walk",
LFE river,yes,4.725,117.59788,Transect,429,10 minutes walk,
B1,yes,4.72834,117.62350,Transect,326,"10 minutes drive, 1 hour walk",
