field_type,ID,ID,Location,Date,Time,Comments,Numeric,Numeric,Comments
description,Point count location,Audio file ID,Location in the SAFE landscape,Date of recording,Time of recording,Weather conditions of recording,Research assistant,Research assistant,Notes
units,,,,dd/mm/yy,hh:mm:ss,,Binary,Binary,
method,,,,,,Observation,Research assistant,Research assistant,
field_name,Point_count_ID,Audio_file,Site,Date,Time,Weather,Adi_Syamin,Jani,Notes
1,18_03_06_1,PC0000_0003,E100 edge,3/6/2018,10:15:00 AM,sun,1,1,NA
2,18_03_06_2,PC0000_0004,E100 edge,3/6/2018,11:00:00 AM,sun,1,1,NA
3,18_03_06_3,PC0000_0005,E100 edge,3/6/2018,12:00:00 PM,sun,1,1,NA
4,18_03_06_4,PC0000_0006,E100 edge,3/6/2018,01:00:00 PM,sun,1,1,NA
5,18_03_06_5,PC0000_0007,E100 edge,3/6/2018,02:00:00 PM,sun,1,1,NA
6,18_03_06_6,PC0000_0008,E100 edge,3/6/2018,03:00:00 PM,sun,1,1,NA
7,18_03_07_1,PC0000_0009,D100 641,3/7/2018,09:15:00 AM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
8,18_03_07_2,PC0000_0010,D100 641,3/7/2018,10:00:00 AM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
9,18_03_07_3,PC0000_0011,D100 641,3/7/2018,11:00:00 AM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
10,18_03_07_4,PC0000_0012,D100 641,3/7/2018,12:00:00 PM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
11,18_03_07_5,PC0000_0013,D100 641,3/7/2018,01:00:00 PM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
12,18_03_07_6,NA,D100 641,3/7/2018,02:00:00 PM,sun,1,1,recorder on nice height about 1.20m on cut wild ginger stalk
13,18_03_08_1,PC0000_0014,C10 621,3/8/2018,10:00:00 AM,sun,1,1,NA
14,18_03_08_2,PC0000_0016,C10 621,3/8/2018,11:00:00 AM,sun,1,1,NA
15,18_03_08_3,PC0000_0017,C10 621,3/8/2018,12:00:00 PM,clouded,1,1,NA
