Name,Taxon name,Taxon type,Taxon ID,Group,Order,Family_Scientific,Family_English,Subspecies,Authority,Breeding Range,Breeding Range-Subregion,Nonbreeding Range,Code,Comment
Alcedinidae,Alcedinidae,Family,,Avifauna,,,,,,,,,,
Alcedo,Alcedo,Genus,,Avifauna,,,,,,,,,,
Animal,Animalia,Kingdom,,NA,,,,,,,,,,
Arachnothera,Arachnothera,Genus,,Avifauna,,,,,,,,,,
Arctic Warbler,Phylloscopus borealis,Species,,Avifauna,Passeriformes,Phylloscopidae,Leaf Warblers and allies,,"(Blasius, JH, 1858)",EU,"n, also w Alaska","Southeast Asia, Philippines",,
Ashy Tailorbird,Orthotomus ruficeps,Species,,Avifauna,Passeriformes,Cisticolidae,Cisticolas and allies,borneoensis,"(Salvadori, 1874)",OR,Borneo,,,
Asian Fairy Bluebird,Irena puella,Species,,Avifauna,Passeriformes,Irenidae,Fairy-bluebirds,,"(Latham, 1790)",OR,widespread,,,
Asian Glossy Starling,Aplonis panayensis,Species,,Avifauna,Passeriformes,Sturnidae,,,NA,NA,,,,
Asian Paradise Flycatcher,Terpsiphone incei,Species,,Avifauna,,,,,,,,,,
Asian Red-eyed Bulbul,Pycnonotus brunneus,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Blyth, 1845)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Asian Red-eyed/cream-vented Bulbul,Aves,Class,,Avifauna,,,,,,,,,,
Babbler,Leiothrichidae,Family,,Avifauna,,,,,,,,,,
Banded Bay Cuckoo,Cacomantis sonneratii,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Latham, 1790)",OR,widespread,,,
Banded Broadbill,Eurylaimus javanicus,Species,,Avifauna,Passeriformes,Eurylaimidae,Broadbills,,"(Horsfield, 1821)",OR,Southeast Asia to Java and Borneo,,,
Banded Kingfisher,Lacedo pulchella,Species,,Avifauna,,,,,,,,,,
Banded Woodpecker,Chrysophlegma miniaceum,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Pennant, 1769)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Barbet,Capitonidae,Family,,Avifauna,,,,,,,,,,
Barred Eagle-owl,Bubo sumatranus,Species,,Avifauna,Strigiformes,Strigidae,Owls,,"(Raffles, 1822)",OR,"Malay Peninsula, Greater Sundas",,,
Bar-winged Flycatcher-shrike,Hemipus picatus,Species,,Avifauna,Passeriformes,Tephrodornithidae,Woodshrikes and allies,,"(Sykes, 1832)",OR,widespread,,,
Bearded Pig,Sus barbatus,Species,,NA,Artiodactyla,Suidae,Hogs,,"(Muller, 1838)",Endemic,Borneo,,,
Bee,Hymenoptera,Order,,NA,,,,,,,,,,
Bent-toed Gecko,Cyrtodactylus,Genus,,Herpetofauna,Squamata,Gekkonidae,Geckos,,NA,NA,,,,
Big animal in tree,Mammalia,Class,,NA,,,,,,,,,,
Bird,Aves,Class,,Avifauna,,,,,,,,,,
Black Eagle,Ictinaetus malayensis,Species,5229198,Avifauna,,,,,,,,,,
Black Hornbill,Anthracoceros malayanus,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Raffles, 1822)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Black Magpie,Platysmurus leucopterus,Species,,Avifauna,Passeriformes,Corvidae,"Crows, Jays",,"(Temminck, 1824)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Black-and-white Bulbul,Pycnonotus melanoleucos,Species,,Avifauna,,,,,,,,,,
Black-and-yellow Broadbill,Eurylaimus ochromalus,Species,,Avifauna,Passeriformes,Eurylaimidae,Broadbills,,"(Raffles, 1822)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Black-bellied Malkoha,Phaenicophaeus diardi,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,,"(Lesson, R, 1830)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Black-capped Babbler,Pellorneum capistratum,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Temminck, 1823)",OR,"Malay Peninsula, Sumatra, Java, Borneo",,,
Black-crowned Pitta,Erythropitta ussheri,Species,,Avifauna,Passeriformes,Pittidae,Pittas,,"(Gould, 1877)",OR,Borneo,,,
Black-headed Bulbul,Pycnonotus atriceps,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Temminck, 1822)",OR,widespread,,,
Black-naped Monarch,Hypothymis azurea,Species,,Avifauna,Passeriformes,Monarchidae,Monarchs,,"(Boddaert, 1783)",OR,"widespread, also Lesser Sundas",,,
Black-spotted Rock Frog,Staurois guttatus,Species,,Avifauna,,,,,,,,,,
Black-throated Babbler,Stachyris nigricollis,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Temminck, 1836)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Black-throated Oriole,Oriolus xanthonotus,Species,,Avifauna,,,,,,,,,,
Black-winged flycatcher-shrike,Hemipus hirundinaceus,Species,,Avifauna,Passeriformes,Tephrodornithidae,Woodshrikes and allies,,"(Temminck, 1822)",OR,"Malaysia, Sumatra, Java, Borneo",,,
Blue-banded Kingfisher,Alcedo euryzona,Species,,Avifauna,Coraciiformes,Alcedinidae,Kingfishers,,"(Temminck, 1830)",OR,"Myanmar, Malay Peninsula, Greater Sundas",,,
Blue-crowned Hanging Parrot,Loriculus galgulus,Species,,Avifauna,Psittaciformes,Psittaculidae,Old World Parrots,,"(Linnaeus, 1758)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Blue-eared Barbet,Psilopogon duvaucelii,Species,,Avifauna,Piciformes,Megalaimidae,Asian Barbets,,"(Lesson, R, 1830)",OR,ne India to Borneo,,,
Blue-eared Kingfisher,Alcedo meninting,Species,,Avifauna,,,,,,,,,,
Blue-headed Pitta,Hydrornis baudii,Species,,Avifauna,,,,,,,,,,
Blue-throated Bee-eater,Merops viridis,Species,,Avifauna,Coraciiformes,Meropidae,Bee-eaters,,"(Linnaeus, 1758)",OR,s China to Java and Philippines,,,
Blunt-headed Snail-eating Snake,Aplopeltura boa,Species,,Herpetofauna,,,,,,,,,,
Blyth's Paradise Flycatcher,Terpsiphone affinis,Species,,Avifauna,,,,,,,,,,
Bold-striped Tit-babbler,Macronus bornensis,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Bonaparte, 1850)",OR,"Java, Borneo, Wallacea.",,,
Bornean Banded Pitta,Hydrornis schwaneri,Species,,Avifauna,Passeriformes,Pittidae,Pittas,,"(Bonaparte, 1850)",OR,Borneo,,,
Bornean Blue Flycatcher,Cyornis superbus,Species,,Avifauna,,,,,,,,,,
Bornean Gibbon,Hylobates muelleri,Species,,NA,Squamata,,,,NA,NA,,,,
Bornean Gliding Frog,Rhacophorus borneensis,Species,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,"(Matsui, Shimada & Sudin, 2013)",Endemic,Borneo,,,
Bornean Horned Frog,Megophrys nasuta,Species,,Herpetofauna,,,,,,,,,,
Bornean Narrow-mouthed Frog,Microhyla borneensis,Species,,Herpetofauna,Anura,Microhylidae,Narrow-mouthed Frogs,,"(Parker, 1928)",Endemic,Borneo,,,
Bornean Orang-utan,Pongo pygmaeus,Species,,NA,Squamata,,,,NA,NA,,,,
Bornean Spiderhunter,Arachnothera everetti,Species,,Avifauna,,,,,,,,,,
Bornean Sticky Frog,Kalophrynus meizon,Species,,Herpetofauna,Anura,Microhylidae,Narrow-mouthed Frogs,,"(Zug, 2015)",Endemic,Borneo,,,
Borneo Anglehead Lizard,Gonocephalus bornensis,Species,,Herpetofauna,,,,,,,,,,
Borneo Horned Frog,Megophrys nasuta,Species,,Herpetofauna,,,,,,,,,,
Broadbill,Eurylaimidae,Family,,Avifauna,,,,,,,,,,
Bronzed Drongo,Dicrurus aeneus,Species,,Avifauna,Passeriformes,Dicruridae,Drongos,,"(Vieillot, 1817)",OR,widespread,,,
Brown Barbet,Caloramphus fuliginosus,Species,,Avifauna,,,,,,,,,,
Brown Bullfrog,Kaloula baleata,Species,,Herpetofauna,,,,,,,,,,
Brown Fulvetta,Alcippe brunneicauda,Species,,Avifauna,Passeriformes,Pellorneidae,"Fulvettas, Ground Babblers",,"(Salvadori, 1879)",OR,"Malaysia, Sumatra, Borneo",,,
Brown Hawk-owl,Ninox scutulata,Species,,Avifauna,,,,,,,,,,
Brown Tree Frog,Rhacophorus harrissoni,Species,,Herpetofauna,,,,,,,,,,
Brown Woodshrike,Passeriformes,Order,,Avifauna,,,,,,,,,,
Buff-necked Woodpecker,Meiglyptes tukki,Species,,Avifauna,,,,,,,,,,
Buff-rumped Woodpecker,Meiglyptes tristis,Species,,Avifauna,Piciformes,Picidae,Woodpeckers,,"(Horsfield, 1821)",OR,"Malay Peninsula, Greater Sundas",,,
Buff-vented Bulbul,Iole crypta,Species,,Avifauna,Passeriformes,Pycnonotidae,Bulbuls,,"(Oberholser, 1918)",OR,"se Myanmar, s Thailand, Malay Peninsula, Sumatra and nearby islands",,TAX,"Species epithet crypta Oberholser, 1918 replaces olivacea Blyth, 1844 which is permanently invalid. See Dickinson & Christidis 2014"
Buff-vented Finchs Bulbul,Pycnonotidae,Family,,Avifauna,,,,,,,,,,
Bulbul,Pycnonotidae,Family,,Avifauna,,,,,,,,,,
Bush Frog,Philautus,Genus,,Herpetofauna,Anura,Rhacophoridae,Tree Frogs,,NA,NA,,,,
Bushy-crested Hornbill,Anorrhinus galeritus,Species,,Avifauna,Bucerotiformes,Bucerotidae,Hornbills,,"(Temminck, 1831)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Changeable Hawk-Eagle,Nisaetus cirrhatus,Species,,Avifauna,,,,,,,,,,
Chestnut Munia,Lonchura atricapilla,Species,,Avifauna,Passeriformes,Estrildidae,"Waxbills, Munias and allies",,"(Vieillot, 1807)",OR,"India to Indonesia, Philippines",,,
Chestnut-backed Scimitar Babbler,Pomatorhinus montanus,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Horsfield, 1821)",OR,"Malay Peninsula, Sumatra, Java, Borneo",,,
Chestnut-breasted Malkoha,Phaenicophaeus curvirostris,Species,,Avifauna,Cuculiformes,Cuculidae,Cuckoos,microrhinus,"(von Berlepsch, 1895)",NA,,,,
Chestnut-collared Kingfisher,Actenoides concretus,Species,,Avifauna,,,,,,,,,,
Chestnut-crested Yuhina,Yuhina everetti,Species,,Avifauna,,,,,,,,,,
Chestnut-naped Forktail,Enicurus ruficapillus,Species,,Avifauna,,,,,,,,,,
Chestnut-necklaced Partridge,Arborophila charltonii,Species,,Avifauna,Galliformes,Phasianidae,Pheasants and allies,,"(Eyton, 1845)",OR,"Malay Peninsula, Sumatra, Borneo",,ENG,Change  English name of Arborophila charltonii from Scaly-breasted Partridge to Chestnut-necklaced Partridge to conform to current usage for charltoni sensu stricto
Chestnut-rumped Babbler,Stachyris maculata,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Temminck, 1836)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Chestnut-winged Babbler,Stachyris erythroptera,Species,,Avifauna,Passeriformes,Timaliidae,"Babblers, Scimitar Babblers",,"(Blyth, 1842)",OR,"Malay Peninsula, Sumatra, Borneo",,,
Chloropsis,Chloropseidae,Family,,Avifauna,,,,,,,,,,
Cicada,Cicadidae,Family,,NA,,Cicadoidea,,,NA,NA,,,,
