"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,136,"MYS","Malaysia",1,"Johor","MY.JH",NA,"","Negeri","State","","Johor Darul Takzim|Johore"
2,136,"MYS","Malaysia",2,"Kedah","MY.KH",NA,"","Negeri","State","","Kedah Darul Aman"
3,136,"MYS","Malaysia",3,"Kelantan","MY.KN",NA,"","Negeri","State","",""
4,136,"MYS","Malaysia",4,"Kuala Lumpur","MY.KL",NA,"","Wilayah Persekutuan","Federal Territory","","Federal Territory of Kuala Lumpur"
5,136,"MYS","Malaysia",5,"Labuan","MY.LA",NA,"","Wilayah Persekutuan","Federal Territory","","Federal Territory of Labuan"
6,136,"MYS","Malaysia",6,"Melaka","MY.ME",NA,"","Negeri","State","","Malacca|Malaka"
7,136,"MYS","Malaysia",7,"Negeri Sembilan","MY.NS",NA,"","Negeri","State","","Negeri Sembilan Darul Khusus|Negri Sembilan"
8,136,"MYS","Malaysia",8,"Pahang","MY.PH",NA,"","Negeri","State","","Pahang Darul Makmur"
9,136,"MYS","Malaysia",9,"Perak","MY.PK",NA,"","Negeri","State","","Perak Darul Ridzuan"
10,136,"MYS","Malaysia",10,"Perlis","MY.PL",NA,"","Negeri","State","","Perlis Indra Kayangan"
11,136,"MYS","Malaysia",11,"Pulau Pinang","MY.PG",NA,"","Negeri","State","","Penang and Province Wellesley|Penang"
12,136,"MYS","Malaysia",12,"Putrajaya","MY.PJ",NA,"","Wilayah Persekutuan","Federal Territory","","Federal Territory of Putrajaya"
13,136,"MYS","Malaysia",13,"Sabah","MY.SA",NA,"","Negeri","State","","North Borneo"
14,136,"MYS","Malaysia",14,"Sarawak","MY.SK",NA,"","Negeri","State","",""
15,136,"MYS","Malaysia",15,"Selangor","MY.SL",NA,"","Negeri","State","","Selangor Darul Ehsan"
16,136,"MYS","Malaysia",16,"Trengganu","MY.TE",NA,"","Negeri","State","","Terengganu Darul Iman"
